instruction,intent
Tell me places to visit nearby.,check_nearby_attractions
What's around the hotel?,check_nearby_attractions
Any tourist spots close to the hotel?,check_nearby_attractions
Show me nearby attractions.,check_nearby_attractions
What can I see around here?,check_nearby_attractions
Recommend places near the hotel.,check_nearby_attractions
Anything interesting near the hotel?,check_nearby_attractions
What landmarks are close by?,check_nearby_attractions
List the attractions near your location.,check_nearby_attractions
What attractions are near the hotel?,check_nearby_attractions
Tell me places to visit nearby.,check_nearby_attractions
What's around the hotel?,check_nearby_attractions
Any tourist spots close to the hotel?,check_nearby_attractions
Show me nearby attractions.,check_nearby_attractions
What can I see around here?,check_nearby_attractions
Recommend places near the hotel.,check_nearby_attractions
Anything interesting near the hotel?,check_nearby_attractions
What landmarks are close by?,check_nearby_attractions
List the attractions near your location.,check_nearby_attractions
What attractions are near the hotel?,check_nearby_attractions
Tell me places to visit nearby.,check_nearby_attractions
What's around the hotel?,check_nearby_attractions
Any tourist spots close to the hotel?,check_nearby_attractions
Show me nearby attractions.,check_nearby_attractions
What can I see around here?,check_nearby_attractions
Recommend places near the hotel.,check_nearby_attractions
Anything interesting near the hotel?,check_nearby_attractions
What landmarks are close by?,check_nearby_attractions
List the attractions near your location.,check_nearby_attractions
